FrameNr,x,y,w,h
1,428,151,162,447
2,428,151,162,446
3,428,151,162,446
4,428,151,163,446
5,429,151,162,446
6,429,151,162,446
7,429,151,162,446
8,429,151,162,446
9,429,151,162,446
10,429,152,162,445
11,429,152,162,445
12,429,152,162,445
13,429,152,162,445
14,429,152,162,445
15,429,152,162,445
16,429,152,162,445
17,429,152,162,445
18,429,152,162,445
19,429,152,162,445
20,429,152,162,445
21,429,151,162,445
22,429,152,162,444
23,429,152,162,444
24,430,152,161,444
25,430,152,161,444
26,430,152,162,444
27,430,152,162,444
28,431,152,161,444
29,431,152,161,445
30,432,152,160,444
31,431,152,160,444
32,429,152,162,444
33,427,152,163,444
34,426,153,163,443
35,424,152,164,444
36,423,152,163,444
37,421,152,163,443
38,419,153,161,442
39,415,153,161,442
40,411,152,162,443
41,406,152,164,443
42,401,154,167,442
43,396,154,172,443
44,391,154,176,441
45,386,154,181,440
46,382,154,185,439
47,378,154,188,438
48,375,153,187,439
49,373,153,183,439
50,371,154,178,439
51,368,154,174,441
52,367,155,167,441
53,365,154,160,442
54,363,154,153,443
55,361,154,150,444
56,360,154,147,445
57,358,154,145,445
58,358,154,141,445
59,354,154,142,446
60,344,154,151,444
61,331,154,162,442
62,320,154,172,442
63,313,153,179,443
64,311,155,182,442
65,309,156,183,442
66,308,155,184,444
67,309,153,183,446
68,309,151,182,448
69,310,149,178,451
70,310,149,174,451
71,308,147,171,454
72,304,147,167,454
73,298,146,164,456
74,293,146,158,457
75,288,146,152,456
76,283,145,146,456
77,281,145,140,455
78,277,145,139,456
79,276,145,135,455
80,274,144,134,457
81,272,144,132,456
82,263,145,137,455
83,252,145,144,455
84,242,147,152,453
85,235,148,156,452
86,232,149,158,451
87,232,151,157,449
88,231,151,157,449
89,231,152,158,448
90,230,153,159,448
91,229,154,159,447
92,226,154,161,448
93,221,154,166,447
94,216,153,164,448
95,211,154,165,445
96,205,154,170,444
97,200,155,157,443
98,196,155,145,443
99,192,156,140,442
100,189,156,137,442
101,188,156,134,442
102,185,156,133,441
103,178,156,137,440
104,166,155,146,438
105,161,156,147,435
106,160,156,145,433
107,159,156,144,432
108,154,157,148,430
109,152,159,149,428
110,149,158,152,429
111,146,157,154,429
112,143,155,155,431
113,138,154,157,431
114,133,155,159,428
115,129,154,156,427
116,124,154,152,429
117,119,154,146,427
118,113,153,142,431
119,108,153,137,431
120,105,152,132,428
121,102,150,128,426
122,99,152,126,424
123,99,153,121,423
124,99,153,118,423
125,100,153,112,426
126,100,153,107,427
127,100,154,103,427
128,100,155,99,428
129,100,155,96,430
130,99,155,94,436
131,99,155,93,440
132,99,156,92,437
133,99,155,91,440
134,99,154,88,434
135,100,152,83,444
136,99,152,87,466
137,99,151,84,493
138,0,0,0,0
139,0,0,0,0
140,0,0,0,0
141,0,0,0,0
142,0,0,0,0
143,0,0,0,0
144,0,0,0,0
145,0,0,0,0
146,0,0,0,0
147,0,0,0,0
148,0,0,0,0
149,0,0,0,0
150,0,0,0,0
151,0,0,0,0
152,0,0,0,0
153,0,0,0,0
154,0,0,0,0
155,0,0,0,0
156,0,0,0,0
157,0,0,0,0
158,0,0,0,0
159,0,0,0,0
160,0,0,0,0
161,0,0,0,0
162,0,0,0,0
163,0,0,0,0
164,0,0,0,0
165,0,0,0,0
166,0,0,0,0
167,0,0,0,0
168,0,0,0,0
169,0,0,0,0
170,0,0,0,0
171,0,0,0,0
172,0,0,0,0
173,0,0,0,0
174,0,0,0,0
175,0,0,0,0
176,0,0,0,0
177,0,0,0,0
178,0,0,0,0
179,0,0,0,0
180,0,0,0,0
181,0,0,0,0
182,0,0,0,0
183,0,0,0,0
184,0,0,0,0
185,0,0,0,0
186,0,0,0,0
187,0,0,0,0
188,0,0,0,0
189,0,0,0,0
190,0,0,0,0
191,0,0,0,0
192,0,0,0,0
193,0,0,0,0
194,0,0,0,0
195,0,0,0,0
196,0,0,0,0
197,0,0,0,0
198,0,0,0,0
199,0,0,0,0
200,0,0,0,0
201,0,0,0,0
202,0,0,0,0
203,0,0,0,0
204,0,0,0,0
205,0,0,0,0
206,0,0,0,0
207,0,0,0,0
208,0,0,0,0
209,0,0,0,0
210,0,0,0,0
211,0,0,0,0
212,0,0,0,0
213,0,0,0,0
214,0,0,0,0
215,0,0,0,0
216,0,0,0,0
217,0,0,0,0
218,0,0,0,0
219,0,0,0,0
220,0,0,0,0
221,0,0,0,0
222,0,0,0,0
223,0,0,0,0
224,0,0,0,0
225,0,0,0,0
226,0,0,0,0
227,0,0,0,0
228,0,0,0,0
229,0,0,0,0
230,0,0,0,0
231,0,0,0,0
232,0,0,0,0
233,0,0,0,0
234,0,0,0,0
235,0,0,0,0
236,0,0,0,0
237,0,0,0,0
238,0,0,0,0
239,0,0,0,0
240,0,0,0,0
241,0,0,0,0
242,0,0,0,0
243,0,0,0,0
244,0,0,0,0
245,0,0,0,0
246,0,0,0,0
247,0,0,0,0
248,0,0,0,0
249,0,0,0,0
