FrameNr,x,y,w,h
1,0,0,0,0
2,0,0,0,0
3,0,0,0,0
4,0,0,0,0
5,0,0,0,0
6,0,0,0,0
7,0,0,0,0
8,0,0,0,0
9,0,0,0,0
10,0,0,0,0
11,0,0,0,0
12,0,0,0,0
13,0,0,0,0
14,0,0,0,0
15,0,0,0,0
16,0,0,0,0
17,0,0,0,0
18,0,0,0,0
19,0,0,0,0
20,0,0,0,0
21,0,0,0,0
22,0,0,0,0
23,0,0,0,0
24,0,0,0,0
25,0,0,0,0
26,0,0,0,0
27,0,0,0,0
28,0,0,0,0
29,0,0,0,0
30,0,0,0,0
31,0,0,0,0
32,0,0,0,0
33,0,0,0,0
34,0,0,0,0
35,0,0,0,0
36,0,0,0,0
37,0,0,0,0
38,0,0,0,0
39,0,0,0,0
40,0,0,0,0
41,0,0,0,0
42,0,0,0,0
43,0,0,0,0
44,0,0,0,0
45,0,0,0,0
46,0,0,0,0
47,0,0,0,0
48,0,0,0,0
49,0,0,0,0
50,0,0,0,0
51,0,0,0,0
52,0,0,0,0
53,0,0,0,0
54,0,0,0,0
55,0,0,0,0
56,0,0,0,0
57,0,0,0,0
58,0,0,0,0
59,1099,311,81,326
60,1091,303,89,356
61,0,0,0,0
62,1073,257,107,450
63,1064,246,117,462
64,1055,249,126,462
65,1045,250,136,463
66,1024,251,157,462
67,1008,253,170,458
68,994,254,183,458
69,983,258,195,455
70,976,256,203,457
71,966,257,213,455
72,954,257,225,457
73,944,257,235,458
74,933,255,246,460
75,923,253,249,463
76,914,246,246,470
77,905,240,239,476
78,895,237,237,480
79,890,236,232,479
80,884,234,228,480
81,877,233,226,481
82,870,232,225,483
83,860,240,229,475
84,841,245,242,470
85,805,249,268,466
86,784,253,283,462
87,769,256,292,459
88,765,253,290,462
89,772,258,274,458
90,773,260,265,457
91,774,255,252,461
92,773,255,237,460
93,767,254,229,461
94,756,252,224,463
95,743,252,223,465
96,731,249,220,467
97,719,247,221,468
98,706,247,223,468
99,696,245,225,469
100,688,244,225,469
101,677,240,230,474
102,669,239,235,475
103,662,239,237,476
104,657,241,237,474
