FrameNr,x,y,w,h
1,762,242,73,239
2,761,241,74,240
3,761,241,75,240
4,760,240,75,241
5,759,240,76,242
6,759,239,75,243
7,755,238,79,244
8,754,238,78,244
9,753,238,78,244
10,752,238,79,245
11,751,237,80,246
12,750,237,81,246
13,750,237,81,246
14,749,238,82,245
15,748,237,83,246
16,747,237,83,246
17,748,237,82,246
18,750,237,79,246
19,749,237,79,246
20,747,238,81,244
21,746,239,81,243
22,745,239,81,243
23,744,240,81,242
24,743,241,81,241
25,735,242,88,241
26,726,242,96,240
27,719,242,103,239
28,717,243,105,238
29,711,241,111,241
30,703,242,119,240
31,696,244,125,239
32,693,244,128,238
33,690,246,131,237
34,686,246,135,237
35,684,247,137,235
36,683,248,138,234
37,682,249,139,233
38,682,250,139,232
39,683,251,139,231
40,683,252,139,231
41,691,252,131,232
42,701,253,121,231
43,706,254,116,229
44,700,254,122,227
45,698,252,123,229
46,703,251,115,229
47,707,250,110,231
48,703,248,113,231
49,696,245,120,226
50,690,243,125,223
51,686,241,132,223
52,682,239,140,223
53,680,237,145,225
54,679,234,123,227
55,677,234,115,226
56,676,232,113,227
57,679,231,108,226
58,681,230,106,226
59,680,229,106,226
60,676,229,109,226
61,674,228,110,228
62,671,228,112,228
63,674,228,108,228
64,669,228,113,229
65,656,228,127,230
66,649,229,134,230
67,644,229,138,230
68,640,230,141,229
69,639,232,142,228
70,639,233,141,227
71,637,234,142,226
72,634,234,144,225
73,630,233,147,225
74,628,233,148,225
75,628,231,146,226
76,628,229,145,227
77,628,225,144,231
78,629,221,142,235
79,634,218,136,236
80,637,215,132,236
81,638,210,129,241
82,639,207,126,245
83,640,204,124,254
84,640,202,123,254
85,640,202,123,255
86,640,201,123,259
87,639,202,123,255
88,639,201,123,254
89,638,202,124,247
90,636,201,125,244
91,635,201,125,245
92,636,201,123,250
93,637,202,121,249
94,638,201,119,248
95,637,201,119,251
96,636,201,119,254
97,635,202,120,255
98,634,204,120,254
99,632,208,122,248
100,631,210,122,241
101,631,211,122,239
102,631,213,122,234
103,631,215,121,238
104,633,216,118,243
105,634,216,115,245
106,634,216,113,244
107,634,216,113,237
108,633,215,113,229
109,633,214,112,222
110,637,212,106,220
111,636,208,106,220
112,637,205,104,218
113,638,202,101,220
114,636,198,102,230
115,634,196,105,231
116,632,192,105,219
117,631,189,105,212
118,629,186,107,216
119,628,183,108,220
120,627,181,108,223
121,627,179,107,222
122,628,177,105,221
123,630,177,102,219
124,630,176,101,220
125,630,175,101,222
126,634,173,95,223
127,636,173,95,223
128,640,172,95,224
129,641,172,94,225
130,638,172,96,225
131,635,173,94,224
132,632,173,95,224
133,629,174,96,223
134,626,175,98,224
135,624,175,99,224
136,624,176,98,221
137,624,175,100,224
138,623,176,102,223
139,623,176,102,221
140,623,176,101,221
141,616,176,109,221
142,619,175,107,221
143,605,176,122,222
144,594,175,135,223
145,588,175,142,223
146,585,174,148,224
147,582,174,150,224
148,583,174,147,224
149,602,174,128,224
150,589,175,141,223
151,580,176,152,224
152,579,176,154,227
153,579,176,152,228
154,582,175,146,229
155,584,173,138,231
156,582,169,134,235
157,585,165,127,236
158,588,161,129,235
159,586,155,135,239
160,587,149,139,241
161,587,145,140,240
162,587,142,134,239
163,587,139,136,236
164,589,137,136,240
165,598,136,106,241
166,600,134,87,240
167,602,133,84,243
168,599,132,89,234
169,586,130,91,229
170,579,130,91,222
171,570,129,98,220
172,579,128,88,219
173,569,128,96,222
174,565,128,99,225
175,561,127,103,228
176,559,126,104,230
177,561,126,100,230
178,560,126,99,228
179,559,126,99,229
180,558,126,98,229
181,556,127,101,228
182,556,127,110,225
183,556,127,107,226
184,556,126,105,227
185,556,126,106,226
186,557,125,106,225
187,557,124,109,226
188,557,123,109,227
189,558,123,109,227
190,558,122,104,227
191,558,122,103,228
192,558,122,102,228
193,560,121,100,230
194,563,121,98,228
195,570,121,93,228
196,574,120,89,229
197,580,119,84,228
198,580,118,83,230
199,577,117,87,231
200,576,116,89,232
201,578,115,89,233
202,581,114,86,234
203,581,113,86,236
204,575,112,92,237
205,575,112,91,236
206,575,111,90,238
207,577,111,88,238
208,577,111,88,238
209,578,112,87,238
210,578,112,87,238
211,578,113,88,237
212,581,114,83,239
213,582,114,80,241
214,582,114,80,241
215,582,114,80,241
216,582,114,79,238
217,582,115,79,237
218,583,114,78,239
219,583,114,78,239
220,583,115,78,240
221,584,115,75,241
222,585,115,74,240
223,584,116,74,240
224,584,116,74,239
225,584,117,71,238
226,585,117,69,237
227,583,118,70,235
228,583,119,69,234
229,583,119,69,233
230,582,120,69,231
231,582,120,69,231
232,583,121,67,228
233,582,121,69,228
234,580,122,70,228
235,580,122,70,227
236,581,122,70,226
237,579,122,75,225
238,576,123,83,224
239,577,123,85,225
240,580,123,85,225
241,583,124,83,226
242,582,126,86,224
243,575,127,94,223
244,572,129,97,220
245,571,130,100,219
246,573,130,100,220
247,576,131,97,220
248,575,131,99,221
249,575,132,99,217
250,577,132,97,217
251,577,132,98,218
252,571,133,104,219
253,567,133,108,220
254,572,135,104,218
255,0,0,0,0
256,574,137,104,219
257,570,137,109,220
258,566,137,112,221
259,562,137,116,225
260,563,138,115,221
261,563,138,116,219
262,563,138,116,218
263,566,138,112,216
264,573,138,106,218
265,585,138,94,218
266,584,138,95,216
267,591,138,88,213
268,594,138,85,211
269,594,138,85,211
270,596,138,83,211
271,597,138,82,215
272,596,139,82,215
273,596,138,81,215
274,597,139,80,213
275,595,139,82,214
276,591,139,85,213
277,590,139,87,215
278,588,139,89,216
279,579,139,97,217
280,582,139,94,217
281,586,139,90,215
282,587,138,89,214
283,587,138,89,215
284,570,135,105,216
285,571,134,103,218
286,575,131,99,220
287,574,129,99,220
288,565,126,105,221
289,547,119,120,228
290,539,115,126,234
291,529,108,136,238
292,524,104,139,236
293,523,101,143,236
294,524,99,145,235
295,524,96,144,236
296,524,96,143,230
297,526,95,139,217
298,527,94,138,216
299,528,92,126,216
300,529,90,123,215
301,529,88,118,219
302,530,87,115,219
303,531,87,115,218
304,534,87,111,219
305,540,87,105,219
306,543,88,101,219
307,0,0,0,0
308,0,0,0,0
309,0,0,0,0
310,0,0,0,0
311,0,0,0,0
312,0,0,0,0
313,0,0,0,0
314,553,90,91,218
315,553,89,92,219
316,555,88,90,220
317,556,88,89,221
318,556,88,89,222
319,556,87,89,224
320,556,87,89,223
321,555,85,89,225
322,555,84,88,226
323,555,83,87,227
324,557,81,83,228
325,556,79,82,229
326,558,78,81,230
327,558,77,78,231
328,557,75,77,232
329,557,74,77,230
330,556,72,79,230
331,552,70,84,231
332,541,67,96,231
333,541,66,97,230
334,536,64,101,232
335,534,63,104,228
336,535,60,103,218
337,551,58,84,210
338,551,58,91,210
339,548,57,96,227
340,549,58,93,218
341,543,57,97,217
342,543,57,98,219
343,0,0,0,0
344,0,0,0,0
345,0,0,0,0
346,0,0,0,0
347,0,0,0,0
348,0,0,0,0
349,0,0,0,0
350,541,59,96,242
351,537,59,100,241
352,541,58,96,241
353,548,58,89,238
354,0,0,0,0
355,0,0,0,0
356,0,0,0,0
357,0,0,0,0
358,0,0,0,0
359,0,0,0,0
360,549,55,80,225
361,547,55,80,224
362,537,54,89,240
363,534,53,91,229
364,532,53,92,202
365,529,52,93,187
366,534,51,88,185
367,535,49,87,221
368,526,47,94,231
369,519,44,101,226
370,515,41,105,225
371,511,36,107,227
372,506,30,110,229
373,503,26,113,227
374,501,23,118,222
375,499,22,119,230
376,500,20,119,234
377,500,18,119,231
378,500,15,119,219
379,499,13,119,214
380,498,10,116,210
381,498,8,112,207
382,498,6,105,205
383,497,5,103,205
384,496,5,104,206
385,496,5,104,207
386,496,5,103,207
387,496,5,103,208
388,497,5,102,207
389,499,6,100,206
390,500,7,101,204
391,501,9,100,197
392,503,9,98,189
393,503,9,98,181
394,505,9,96,184
395,506,9,96,184
396,505,9,97,189
397,505,10,97,187
398,504,10,99,195
399,504,10,99,203
400,504,10,100,202
401,505,10,99,198
402,506,10,99,202
403,506,10,101,205
404,507,10,100,204
405,506,10,99,204
406,505,10,98,204
407,505,11,97,202
408,504,11,98,202
409,504,10,98,204
410,504,10,98,203
411,504,8,98,206
412,505,7,98,208
413,504,6,98,210
414,503,4,98,212
415,503,4,99,213
416,504,6,101,211
417,503,6,106,214
418,502,4,107,213
419,502,4,109,210
420,0,0,0,0
421,0,0,0,0
422,502,3,98,191
423,0,0,0,0
424,502,2,103,184
425,0,0,0,0
426,0,0,0,0
427,0,0,0,0
428,0,0,0,0
429,0,0,0,0
430,0,0,0,0
431,0,0,0,0
432,0,0,0,0
433,0,0,0,0
434,0,0,0,0
435,0,0,0,0
436,0,0,0,0
437,0,0,0,0
438,0,0,0,0
439,0,0,0,0
440,0,0,0,0
441,0,0,0,0
442,0,0,0,0
443,0,0,0,0
444,0,0,0,0
445,0,0,0,0
446,0,0,0,0
447,0,0,0,0
448,0,0,0,0
449,0,0,0,0
450,0,0,0,0
451,0,0,0,0
452,0,0,0,0
453,0,0,0,0
454,0,0,0,0
455,0,0,0,0
456,0,0,0,0
457,0,0,0,0
458,0,0,0,0
459,0,0,0,0
460,0,0,0,0
461,0,0,0,0
462,0,0,0,0
463,0,0,0,0
464,0,0,0,0
