FrameNr,x,y,w,h
1,698,179,143,442
2,698,179,143,442
3,698,180,143,441
4,698,180,144,441
5,698,179,144,442
6,698,179,144,442
7,698,179,144,442
8,698,179,144,442
9,698,179,144,442
10,699,179,143,442
11,698,179,144,442
12,699,179,144,442
13,699,179,144,442
14,699,179,144,442
15,699,179,144,442
16,699,178,144,443
17,700,178,142,443
18,700,178,143,443
19,701,178,142,443
20,702,178,141,444
21,702,178,141,444
22,703,178,141,444
23,703,178,141,444
24,704,178,140,444
25,705,178,140,444
26,705,179,141,443
27,706,180,141,442
28,706,180,142,442
29,706,180,144,442
30,707,180,144,442
31,708,180,145,442
32,708,180,146,441
33,708,180,146,441
34,708,179,147,442
35,708,179,146,442
36,707,179,147,441
37,704,178,149,442
38,699,178,153,443
39,693,177,158,444
40,687,177,162,444
41,679,176,167,445
42,674,176,169,444
43,671,176,170,444
44,670,176,168,444
45,670,177,165,443
46,670,178,163,442
47,670,178,160,442
48,668,179,160,441
49,667,179,161,441
50,667,179,162,441
51,666,180,164,441
52,666,181,164,440
53,664,182,167,439
54,662,183,168,439
55,660,183,165,437
56,659,183,157,436
57,655,185,150,434
58,653,186,141,434
59,648,186,135,436
60,645,185,128,438
61,642,185,121,439
62,640,185,117,439
63,639,187,112,437
64,639,187,109,437
65,636,187,110,437
66,630,186,115,437
67,619,185,125,437
68,607,185,137,435
69,597,185,147,435
70,590,184,151,436
71,586,185,153,435
72,585,185,153,436
73,584,184,152,438
74,584,184,152,439
75,584,183,152,440
76,583,183,153,439
77,584,181,151,441
78,584,180,151,442
79,584,179,151,442
80,584,179,151,443
81,584,179,151,442
82,582,179,152,442
83,580,180,149,442
84,578,180,147,441
85,577,180,145,442
86,574,180,143,443
87,572,179,137,444
88,568,179,136,444
89,567,179,129,443
90,569,179,119,443
91,569,179,115,441
92,571,179,112,441
93,571,180,113,441
94,570,180,116,443
95,569,181,120,443
96,569,184,122,440
97,569,187,124,437
98,570,189,126,434
99,571,190,127,430
100,571,193,130,423
101,571,194,136,418
102,572,196,138,411
103,572,197,139,409
104,573,198,139,407
105,574,198,139,406
106,575,198,138,405
107,577,198,136,404
108,580,198,133,403
109,583,199,130,403
110,586,201,127,402
111,590,203,123,400
112,593,205,120,399
113,596,207,117,396
114,599,208,114,388
115,602,210,111,388
116,605,212,109,387
117,609,214,106,385
118,611,217,105,383
119,613,219,104,382
120,616,222,103,379
121,620,224,103,375
122,622,226,103,372
123,625,227,104,367
124,626,226,107,363
125,629,226,106,361
126,634,226,106,358
127,639,226,104,357
128,643,227,102,356
129,645,227,102,357
130,647,226,103,357
131,651,227,101,355
132,655,226,104,356
133,659,230,114,352
134,663,233,121,349
135,665,234,130,347
136,667,237,137,345
137,667,239,142,343
138,668,241,144,342
139,669,244,145,340
140,671,245,144,339
141,673,247,142,337
142,677,246,138,335
143,684,244,131,336
144,690,246,125,333
145,697,246,119,333
146,707,246,112,332
147,715,245,107,331
148,724,244,101,331
149,731,244,97,329
150,735,245,96,327
151,738,245,96,327
152,742,244,94,326
153,751,244,88,326
154,756,245,87,326
155,758,246,88,327
156,759,248,90,325
157,761,249,90,324
158,761,251,91,322
159,761,252,93,321
160,762,252,93,320
161,761,253,95,317
162,761,253,95,314
163,761,253,95,313
164,763,252,93,313
165,763,251,94,314
166,762,250,96,314
167,760,250,98,313
168,757,251,102,309
169,754,252,104,306
170,752,253,105,305
171,750,254,107,304
172,748,256,109,302
173,747,257,109,301
174,746,257,109,301
175,745,258,109,300
176,743,260,109,298
177,740,261,110,297
178,736,263,113,295
179,734,265,114,293
180,732,265,115,292
181,731,266,116,291
182,729,267,115,289
183,727,267,115,288
184,725,267,114,287
185,721,267,115,286
186,720,266,113,286
187,718,266,110,286
188,717,266,107,286
189,717,266,102,285
190,716,266,98,284
191,716,265,95,284
192,716,264,93,285
193,715,265,93,284
194,715,265,93,283
195,714,266,94,282
196,715,266,93,282
197,716,266,92,282
198,716,267,92,280
199,717,268,91,279
200,717,269,91,278
201,718,270,91,277
202,718,271,92,276
203,718,273,93,274
204,720,274,92,272
205,720,276,92,269
206,723,276,92,268
207,724,277,92,267
208,727,278,90,266
209,730,279,89,264
210,731,280,89,262
211,733,280,88,261
212,733,280,89,261
213,733,280,89,260
214,733,280,89,258
215,732,280,90,258
216,732,280,90,258
217,732,280,90,257
218,732,280,90,257
219,732,280,91,257
220,733,281,90,256
221,733,281,89,256
222,734,281,88,256
223,734,281,88,256
224,733,281,88,256
225,734,281,87,256
226,733,282,87,255
227,733,282,86,255
228,733,283,85,254
229,733,284,84,253
230,732,285,84,251
231,731,287,84,249
232,732,288,81,248
233,731,290,80,246
234,731,291,78,245
235,731,291,77,245
236,729,291,79,244
237,728,291,80,243
238,727,291,80,243
239,727,291,80,242
240,727,291,80,241
241,727,290,80,241
242,727,290,80,240
243,727,291,80,238
244,727,291,80,238
245,728,291,79,237
246,729,290,78,238
247,730,290,78,238
248,730,291,78,236
249,731,290,77,237
250,732,290,77,237
251,732,291,77,236
252,732,291,77,236
253,732,292,78,234
254,732,292,79,234
255,732,292,80,234
256,732,292,81,235
257,733,292,82,235
258,734,293,82,233
259,734,294,82,232
260,735,295,82,230
261,736,296,83,229
262,739,297,82,227
263,742,299,80,225
264,740,299,83,224
265,739,299,85,224
266,743,298,81,225
267,746,298,78,225
268,748,297,76,225
269,749,297,75,224
270,750,297,74,224
271,751,297,73,223
272,752,297,72,224
273,752,297,72,223
274,753,297,72,223
275,753,297,72,223
276,753,297,72,223
277,752,297,73,223
278,752,297,72,222
279,753,297,71,222
280,753,297,71,222
