FrameNr,x,y,w,h
1,954,304,122,323
2,954,304,122,323
3,954,304,122,323
4,954,304,122,323
5,954,304,122,323
6,954,304,121,323
7,954,304,121,323
8,954,304,122,323
9,954,304,122,322
10,954,304,122,322
11,954,304,122,322
12,954,304,122,322
13,954,304,122,323
14,954,303,122,324
15,953,303,123,323
16,953,303,123,323
17,954,303,123,323
18,955,303,122,324
19,956,303,121,323
20,956,303,121,323
21,957,302,120,325
22,957,302,121,324
23,957,302,121,324
24,958,302,121,324
25,958,302,121,324
26,958,301,121,325
27,958,302,121,324
28,959,302,121,323
29,960,302,121,323
30,961,302,120,323
31,963,301,119,325
32,963,302,119,325
33,964,303,118,324
34,963,303,119,323
35,962,303,119,323
36,961,303,118,322
37,959,303,118,323
38,957,304,119,321
39,952,305,121,320
40,949,308,123,317
41,946,307,125,319
42,945,307,126,319
43,945,310,125,315
44,942,311,128,314
45,942,312,127,314
46,941,312,128,314
47,939,313,129,312
48,936,312,129,311
49,934,313,128,310
50,931,313,127,307
51,924,313,127,306
52,920,313,122,305
53,915,313,113,304
54,912,313,104,304
55,909,314,99,306
56,905,314,99,307
57,900,314,98,304
58,891,314,106,303
59,878,315,121,303
60,868,316,131,302
61,863,317,135,301
62,861,316,135,303
63,860,312,134,306
64,860,313,132,306
65,860,312,127,307
66,858,311,118,305
67,856,310,108,305
68,852,309,99,308
69,845,308,92,309
70,839,307,90,310
71,834,306,89,310
72,833,307,86,309
73,833,308,84,309
74,831,306,84,311
75,831,307,84,310
76,831,307,84,311
77,831,308,83,310
78,830,310,84,307
79,830,313,84,304
80,830,318,83,298
81,830,330,81,285
82,830,337,78,277
83,831,348,72,264
84,831,323,78,262
85,827,323,78,262
86,823,323,78,262
87,818,323,78,262
88,814,323,78,262
89,809,323,78,262
90,805,323,78,262
91,800,323,78,262
92,796,323,78,262
93,791,323,78,262
94,787,323,78,262
95,783,323,78,262
96,778,323,78,262
97,774,323,78,262
98,769,323,78,262
99,765,323,78,262
100,760,323,78,262
101,756,323,78,262
102,751,323,78,262
103,747,323,78,262
104,742,323,78,262
105,738,323,78,262
106,734,323,78,262
107,729,323,78,262
108,725,323,78,262
109,720,323,78,262
110,716,323,78,262
111,711,323,78,262
112,707,323,78,262
113,702,323,78,262
114,698,323,78,262
115,693,323,78,262
116,689,323,78,262
117,685,323,78,262
118,680,323,78,262
119,676,323,78,262
120,671,323,78,262
121,667,323,78,262
122,662,323,78,262
123,658,323,78,262
124,653,323,78,262
125,649,323,78,262
126,644,323,78,262
127,640,323,78,262
128,636,323,78,262
129,631,323,78,262
130,627,323,78,262
131,622,323,78,262
132,618,323,78,262
133,613,323,78,262
134,609,323,78,262
135,604,323,78,262
136,600,323,78,262
137,595,323,78,262
138,591,323,78,262
139,587,323,78,262
140,587,323,78,262
141,587,323,78,262
142,580,315,85,272
