FrameNr,x,y,w,h
1,653,314,69,180
2,652,315,69,180
3,653,317,66,177
4,653,318,65,176
5,652,320,64,174
6,650,321,64,174
7,649,322,64,173
8,648,320,66,175
9,646,319,68,175
10,645,319,69,175
11,644,320,70,174
12,643,319,72,175
13,642,317,71,177
14,641,317,70,177
15,640,318,68,176
16,640,320,66,174
17,639,322,63,171
18,638,323,61,170
19,636,322,59,172
20,635,320,55,174
21,635,318,52,176
22,633,318,52,179
23,632,317,52,181
24,632,317,51,180
25,631,319,50,177
26,629,319,51,174
27,623,320,57,173
28,619,321,60,174
29,613,321,67,174
30,609,320,71,176
31,607,321,73,175
32,606,320,74,176
33,605,319,75,176
34,605,319,74,176
35,606,320,72,175
36,606,320,71,175
37,606,319,69,176
38,606,321,68,175
39,604,323,68,173
40,603,322,68,175
41,602,321,67,176
42,598,321,67,175
43,593,323,66,172
44,589,323,62,171
45,586,323,59,170
46,583,323,57,171
47,580,322,58,173
48,577,323,60,172
49,575,322,61,172
50,573,323,62,170
51,571,323,63,169
52,569,323,65,169
53,568,324,66,169
54,566,324,68,169
55,564,322,70,172
56,563,319,71,175
57,562,311,72,184
58,563,306,70,190
59,564,303,67,193
60,563,301,66,195
61,562,303,66,194
62,561,304,64,192
63,559,307,61,187
64,558,307,59,185
65,556,306,57,186
66,555,308,53,185
67,552,309,52,184
68,550,312,50,181
69,548,312,50,181
70,545,313,52,180
71,543,315,52,176
72,538,313,56,179
73,532,313,62,180
74,526,316,68,177
75,523,316,70,178
76,521,319,71,176
77,520,321,72,175
78,517,322,75,175
79,515,324,77,172
80,513,323,79,174
81,512,323,78,175
82,513,323,75,175
83,512,323,74,174
84,511,323,74,174
85,510,323,72,175
86,509,324,69,174
87,506,322,66,176
88,505,321,64,177
89,505,320,58,179
90,504,320,53,179
91,503,320,51,180
92,501,321,50,179
93,498,320,52,181
94,495,320,54,179
95,493,320,55,176
96,490,321,56,175
97,485,321,60,176
98,481,324,63,174
99,477,329,67,170
100,474,328,70,171
101,472,327,71,172
102,472,326,70,173
103,471,326,72,173
104,471,327,72,172
105,470,327,73,173
106,470,326,70,174
107,471,325,66,176
108,471,324,61,177
109,471,323,57,177
110,470,323,55,176
111,469,323,52,175
112,467,323,51,174
113,465,322,52,177
114,463,321,52,178
115,463,322,51,178
116,461,322,52,177
117,459,322,54,177
118,457,322,55,176
119,454,322,59,177
120,451,322,62,177
121,451,322,62,177
122,450,322,65,177
123,449,322,65,177
124,448,322,64,177
125,447,324,58,175
126,447,323,54,176
127,446,323,52,178
128,443,323,53,178
129,441,322,54,180
130,441,323,52,175
131,439,322,54,178
132,437,321,55,180
133,436,320,56,182
134,435,320,56,184
135,435,319,55,184
136,434,319,55,184
137,433,318,55,184
138,433,318,54,184
139,432,318,54,184
140,431,318,55,184
141,431,318,54,183
142,430,318,54,182
143,428,318,56,182
144,427,318,57,182
145,425,318,58,182
146,424,318,59,181
147,423,318,59,181
148,422,319,60,180
149,422,319,59,179
150,421,319,60,178
151,421,320,60,174
152,421,321,60,174
153,420,320,61,174
154,420,320,61,174
155,419,320,62,174
156,419,318,63,174
157,418,319,63,174
158,418,319,63,174
159,418,319,63,174
160,418,319,63,174
161,418,319,63,174
162,418,319,63,174
163,418,319,63,174
164,418,319,63,174
165,418,319,63,174
166,418,319,63,174
167,418,319,63,174
168,418,319,63,174
169,418,319,63,174
170,418,319,63,174
171,432,322,69,175
172,431,322,73,177
173,431,321,75,179
174,431,321,77,179
175,431,321,79,179
176,431,319,81,181
177,433,318,81,182
178,435,318,80,182
179,437,318,81,182
180,438,319,82,182
181,437,319,85,182
182,438,320,86,181
183,443,321,81,179
184,447,322,78,179
185,450,322,75,180
186,453,322,72,181
187,449,322,76,181
188,451,321,74,182
189,451,320,74,183
190,457,321,67,180
191,459,322,64,178
192,461,323,62,177
193,463,323,61,178
194,465,324,59,177
195,467,324,58,177
196,469,324,57,177
197,470,324,57,178
198,472,324,58,177
199,473,323,60,178
200,474,323,61,178
201,474,323,63,178
202,474,323,65,179
203,477,323,64,180
204,480,322,64,181
205,482,321,64,183
206,484,321,64,182
207,486,321,63,182
208,487,321,63,182
209,488,322,63,181
210,489,323,63,178
211,491,322,63,178
212,493,322,70,177
213,495,322,75,177
214,497,322,78,178
215,498,321,79,179
216,498,321,81,179
217,499,322,81,178
218,499,322,82,179
219,500,323,84,179
220,500,322,84,180
221,502,322,82,181
222,503,322,81,180
223,505,322,79,180
224,508,321,78,182
225,511,319,76,184
226,513,318,76,185
227,517,317,74,185
228,523,317,71,185
229,528,316,67,185
230,532,316,65,185
231,534,315,66,187
232,535,315,66,188
233,536,315,66,188
234,538,312,66,192
235,539,311,65,192
236,540,311,65,191
237,541,314,65,188
238,544,318,64,183
239,547,319,63,182
240,548,317,64,185
241,550,315,64,188
242,551,313,65,191
243,552,312,66,192
244,552,310,66,194
245,553,309,66,195
246,555,310,64,194
247,558,312,62,192
248,559,309,63,194
249,561,308,63,195
250,562,306,64,198
251,563,305,64,200
252,566,305,62,201
253,565,305,64,202
254,563,306,66,200
255,563,307,66,199
256,565,313,66,193
257,568,317,66,186
258,576,317,67,186
259,579,317,71,186
260,581,317,75,187
261,583,316,78,189
262,585,318,80,188
263,586,320,81,186
264,586,322,82,184
265,586,319,81,188
266,586,318,81,189
267,587,319,80,189
268,589,320,78,188
269,590,320,75,188
270,592,318,74,190
271,592,317,75,191
272,592,315,76,194
273,594,316,76,192
274,595,316,77,191
275,597,316,78,191
276,599,317,80,189
277,601,318,82,189
278,602,318,85,189
279,603,320,87,188
280,605,320,86,187
281,605,320,87,187
282,606,320,87,187
283,606,320,86,188
284,607,320,84,189
285,608,319,82,193
286,608,319,80,195
