FrameNr,x,y,w,h
1,0,0,0,0
2,0,0,0,0
3,0,0,0,0
4,0,0,0,0
5,0,0,0,0
6,0,0,0,0
7,0,0,0,0
8,0,0,0,0
9,0,0,0,0
10,0,0,0,0
11,0,0,0,0
12,0,0,0,0
13,0,0,0,0
14,0,0,0,0
15,0,0,0,0
16,0,0,0,0
17,0,0,0,0
18,0,0,0,0
19,0,0,0,0
20,0,0,0,0
21,0,0,0,0
22,0,0,0,0
23,0,0,0,0
24,0,0,0,0
25,0,0,0,0
26,0,0,0,0
27,101,415,134,303
28,102,163,129,553
29,101,225,73,490
30,100,178,69,535
31,98,165,84,548
32,99,163,94,550
33,99,161,106,551
34,100,158,114,554
35,100,155,124,557
36,100,150,135,563
37,99,147,145,567
38,99,142,154,572
39,105,136,159,577
40,116,131,158,582
41,124,127,158,585
42,128,125,168,587
43,131,120,178,594
44,133,118,198,596
45,134,119,220,595
46,134,119,238,596
47,136,119,249,595
48,140,119,255,595
49,143,114,258,600
50,149,110,258,605
51,163,108,252,607
52,181,103,244,612
53,206,100,229,615
54,230,93,219,622
55,263,85,198,631
56,295,79,181,636
57,315,74,177,639
58,329,71,182,643
59,342,66,178,648
60,352,65,193,650
61,360,63,282,652
62,363,64,327,652
63,364,64,361,652
64,366,67,340,649
65,369,71,330,644
66,371,71,333,644
67,373,66,335,649
68,386,66,327,649
69,408,66,314,649
70,434,64,291,652
71,479,56,251,660
72,523,51,222,664
73,566,41,192,673
74,590,33,187,682
75,602,24,196,687
76,617,20,207,692
77,630,20,229,694
78,642,18,264,697
79,652,15,301,699
80,658,16,338,698
81,662,17,362,697
82,665,17,372,698
83,670,17,378,698
84,672,16,385,699
85,677,16,386,698
86,694,13,374,702
87,724,10,354,705
88,757,7,327,708
89,798,5,294,710
90,837,5,266,711
91,864,4,254,711
92,883,4,254,709
93,901,4,256,708
94,918,3,257,707
95,935,3,248,708
96,952,4,232,708
97,972,3,213,707
98,991,3,193,707
99,1009,6,174,705
100,1026,5,156,708
101,1038,1,143,712
102,0,0,0,0
103,0,0,0,0
104,0,0,0,0
105,0,0,0,0
106,0,0,0,0
107,0,0,0,0
108,0,0,0,0
109,0,0,0,0
110,0,0,0,0
111,0,0,0,0
112,0,0,0,0
113,0,0,0,0
114,0,0,0,0
115,0,0,0,0
116,0,0,0,0
117,0,0,0,0
118,0,0,0,0
119,0,0,0,0
120,0,0,0,0
121,0,0,0,0
122,0,0,0,0
123,0,0,0,0
