FrameNr,x,y,w,h
1,0,0,0,0
2,0,0,0,0
3,0,0,0,0
4,0,0,0,0
5,0,0,0,0
6,0,0,0,0
7,0,0,0,0
8,0,0,0,0
9,0,0,0,0
10,0,0,0,0
11,0,0,0,0
12,0,0,0,0
13,0,0,0,0
14,0,0,0,0
15,0,0,0,0
16,0,0,0,0
17,100,207,74,256
18,100,213,83,396
19,99,220,93,468
20,99,228,102,490
21,100,241,123,479
22,104,253,155,467
23,102,264,189,456
24,102,271,213,449
25,101,276,227,444
26,102,278,229,442
27,102,279,239,441
28,101,278,258,441
29,103,274,276,445
30,111,268,286,451
31,138,260,274,458
32,165,254,264,464
33,185,242,256,475
34,205,241,248,474
35,222,244,243,471
36,239,249,237,467
37,253,255,236,462
38,262,262,251,455
39,278,270,263,446
40,291,277,277,440
41,312,285,283,432
42,331,287,287,430
43,350,291,279,427
44,362,295,270,423
45,365,296,267,422
46,368,297,264,420
47,373,298,261,419
48,391,296,252,421
49,430,292,225,425
50,458,288,211,427
51,476,284,203,432
52,488,281,203,433
53,497,280,203,435
54,502,282,207,432
55,509,287,209,428
56,514,295,219,422
57,521,302,236,415
58,531,307,244,410
59,544,312,249,406
60,557,314,249,405
61,571,315,244,403
62,585,313,234,405
63,598,310,223,408
64,611,308,211,411
65,622,305,202,414
66,632,302,198,417
67,642,301,201,416
68,652,298,199,420
69,660,292,202,425
70,664,288,202,428
71,667,285,209,431
72,667,283,215,432
73,666,279,222,435
74,665,275,228,439
75,666,273,230,441
76,669,272,229,443
77,670,271,229,444
78,670,267,232,448
79,671,265,234,449
80,673,263,238,452
81,676,261,238,454
82,681,259,235,457
83,684,255,234,461
84,685,249,233,468
85,687,242,232,474
86,688,237,234,478
87,686,234,238,481
88,683,233,244,482
89,681,233,248,482
90,678,232,253,483
91,673,231,257,485
92,668,227,258,489
93,665,221,255,496
94,662,214,253,504
95,658,209,249,510
96,654,204,242,513
97,643,202,246,515
98,632,202,246,515
99,618,209,250,507
100,608,220,248,496
101,597,236,251,480
102,587,257,251,458
103,583,279,248,436
104,577,305,250,412
105,568,329,259,388
106,560,352,267,365
107,553,376,274,341
108,548,394,279,324
109,539,418,288,300
110,537,433,277,286
111,533,442,286,277
112,538,445,278,274
113,541,447,277,272
114,530,444,288,275
115,528,440,288,278
116,541,432,275,286
117,530,424,282,294
118,524,418,284,301
119,524,414,278,304
120,523,406,284,312
121,527,399,273,319
122,528,388,271,329
123,530,375,267,342
124,532,360,261,356
125,536,344,253,372
126,539,328,247,388
127,542,313,241,403
128,545,296,234,422
129,549,280,224,438
130,555,264,207,454
131,555,253,197,464
132,554,239,192,478
133,551,233,192,483
134,549,231,193,485
135,546,232,196,484
136,545,233,198,484
137,544,237,200,480
138,545,243,203,474
139,546,251,206,466
140,544,256,212,460
141,543,261,222,456
142,541,263,232,453
143,538,267,240,450
144,534,274,245,443
145,532,279,247,438
146,529,284,249,433
147,527,286,247,432
148,526,288,240,430
149,525,289,233,429
150,526,290,222,428
151,527,290,213,428
152,527,291,205,427
153,528,291,196,425
154,529,294,190,423
155,530,296,186,421
156,530,299,184,418
157,529,302,184,417
158,529,308,183,411
159,529,313,183,407
160,529,317,182,403
161,531,320,180,400
162,534,321,177,398
163,538,321,173,398
164,540,322,169,397
165,542,321,167,398
166,541,321,165,397
167,537,321,167,396
168,533,321,168,397
169,525,322,168,395
170,517,322,173,394
171,511,323,175,392
172,506,325,176,389
173,502,327,175,388
174,495,329,176,388
175,489,331,176,387
176,485,333,176,386
177,482,335,178,383
178,476,331,182,387
179,472,325,183,392
180,459,325,180,387
181,448,324,171,391
182,441,327,159,384
183,420,328,166,383
184,397,329,180,381
185,379,329,187,379
186,369,330,189,376
187,369,330,183,375
188,367,329,180,374
189,359,330,186,372
190,354,332,189,370
191,352,331,185,371
192,352,331,176,372
193,351,331,160,370
194,351,330,143,370
195,350,328,123,372
196,344,324,111,378
197,327,321,114,380
198,303,321,127,379
199,280,318,142,381
200,256,316,160,382
201,237,313,173,384
202,225,312,181,386
203,216,317,180,382
204,210,320,170,378
205,201,322,166,373
206,193,320,153,375
207,188,320,144,374
208,189,319,134,373
209,170,316,139,376
210,138,312,160,380
211,113,310,178,379
212,102,307,188,382
213,96,307,193,383
214,95,308,194,381
215,95,310,162,376
216,94,308,148,377
217,94,308,136,377
218,95,306,119,378
219,96,301,106,383
220,96,297,93,386
221,97,290,79,393
222,98,286,57,397
223,0,0,0,0
224,0,0,0,0
225,0,0,0,0
226,0,0,0,0
227,0,0,0,0
228,0,0,0,0
229,0,0,0,0
230,0,0,0,0
231,0,0,0,0
232,0,0,0,0
233,0,0,0,0
234,0,0,0,0
235,0,0,0,0
236,0,0,0,0
237,0,0,0,0
238,0,0,0,0
239,0,0,0,0
240,0,0,0,0
241,0,0,0,0
242,0,0,0,0
