FrameNr,x,y,w,h
1,0,0,0,0
2,0,0,0,0
3,0,0,0,0
4,0,0,0,0
5,0,0,0,0
6,0,0,0,0
7,0,0,0,0
8,0,0,0,0
9,0,0,0,0
10,0,0,0,0
11,0,0,0,0
12,0,0,0,0
13,0,0,0,0
14,0,0,0,0
15,0,0,0,0
16,0,0,0,0
17,0,0,0,0
18,0,0,0,0
19,0,0,0,0
20,0,0,0,0
21,0,0,0,0
22,0,0,0,0
23,0,0,0,0
24,0,0,0,0
25,0,0,0,0
26,0,0,0,0
27,0,0,0,0
28,0,0,0,0
29,0,0,0,0
30,0,0,0,0
31,0,0,0,0
32,0,0,0,0
33,0,0,0,0
34,0,0,0,0
35,0,0,0,0
36,0,0,0,0
37,0,0,0,0
38,0,0,0,0
39,0,0,0,0
40,0,0,0,0
41,0,0,0,0
42,0,0,0,0
43,0,0,0,0
44,0,0,0,0
45,0,0,0,0
46,0,0,0,0
47,0,0,0,0
48,0,0,0,0
49,0,0,0,0
50,0,0,0,0
51,0,0,0,0
52,0,0,0,0
53,0,0,0,0
54,0,0,0,0
55,0,0,0,0
56,0,0,0,0
57,0,0,0,0
58,0,0,0,0
59,0,0,0,0
60,0,0,0,0
61,0,0,0,0
62,0,0,0,0
63,0,0,0,0
64,0,0,0,0
65,0,0,0,0
66,0,0,0,0
67,0,0,0,0
68,0,0,0,0
69,0,0,0,0
70,0,0,0,0
71,0,0,0,0
72,0,0,0,0
73,0,0,0,0
74,0,0,0,0
75,0,0,0,0
76,0,0,0,0
77,0,0,0,0
78,0,0,0,0
79,0,0,0,0
80,101,216,56,417
81,101,143,64,512
82,99,127,78,559
83,99,118,91,590
84,99,114,102,603
85,99,111,113,609
86,99,109,125,611
87,99,109,144,611
88,99,110,167,609
89,99,111,226,608
90,99,113,262,605
91,99,113,288,605
92,99,113,304,604
93,99,115,274,602
94,101,114,261,602
95,100,118,261,597
96,100,121,266,594
97,100,121,271,595
98,100,120,275,596
99,102,122,275,593
100,110,122,273,594
101,126,118,263,597
102,149,111,251,604
103,181,109,227,606
104,220,109,195,606
105,254,108,171,606
106,273,110,161,603
107,288,111,156,602
108,302,110,151,603
109,314,107,165,607
110,321,103,191,612
111,323,100,219,615
112,325,102,263,613
113,328,103,308,612
114,330,103,335,612
115,330,105,349,610
116,331,104,335,610
117,332,106,321,608
118,333,107,313,608
119,335,105,309,611
120,349,103,294,614
121,371,98,273,619
122,397,96,249,622
123,423,96,224,622
124,452,91,203,627
125,482,87,181,630
126,513,85,161,632
127,535,81,154,634
128,546,79,158,634
129,555,79,170,633
130,568,80,200,634
131,575,82,230,634
132,585,84,253,633
133,589,86,277,630
134,591,89,302,627
135,592,90,324,626
136,594,91,336,625
137,594,94,347,621
138,595,97,355,619
139,598,102,360,613
140,601,105,360,610
141,611,106,350,609
142,628,105,331,610
143,648,103,308,613
144,670,95,285,621
145,696,91,257,626
146,723,87,226,631
147,749,87,193,631
148,766,87,180,631
149,781,85,178,630
150,789,84,185,631
151,801,82,200,633
152,811,81,248,635
153,820,82,282,635
154,830,83,307,633
155,842,83,322,633
156,850,83,330,633
157,855,83,328,632
158,853,82,320,633
159,854,83,325,632
160,853,83,331,632
161,853,82,333,633
162,859,80,327,635
163,865,80,321,636
164,879,78,306,638
165,899,75,286,641
166,921,71,261,646
167,945,69,236,647
168,975,66,205,650
169,998,65,183,651
170,1012,64,169,650
171,1023,63,158,648
172,1036,61,144,649
173,1047,60,133,652
174,1058,60,122,653
175,1068,61,113,652
176,1079,62,102,651
177,1091,65,90,649
178,1098,67,83,647
179,1104,67,77,647
180,1103,58,78,657
181,0,0,0,0
182,1104,574,75,144
183,0,0,0,0
184,0,0,0,0
185,0,0,0,0
186,0,0,0,0
187,0,0,0,0
188,0,0,0,0
189,0,0,0,0
190,0,0,0,0
191,0,0,0,0
192,0,0,0,0
193,0,0,0,0
194,0,0,0,0
195,0,0,0,0
196,0,0,0,0
197,0,0,0,0
198,0,0,0,0
199,0,0,0,0
200,0,0,0,0
201,0,0,0,0
202,0,0,0,0
203,0,0,0,0
204,0,0,0,0
205,0,0,0,0
206,0,0,0,0
207,0,0,0,0
208,0,0,0,0
209,0,0,0,0
210,0,0,0,0
211,0,0,0,0
212,0,0,0,0
213,0,0,0,0
214,0,0,0,0
215,0,0,0,0
216,0,0,0,0
217,0,0,0,0
218,0,0,0,0
219,0,0,0,0
220,0,0,0,0
221,0,0,0,0
222,0,0,0,0
223,0,0,0,0
224,0,0,0,0
225,0,0,0,0
226,0,0,0,0
227,0,0,0,0
228,0,0,0,0
229,0,0,0,0
230,0,0,0,0
231,0,0,0,0
232,0,0,0,0
233,0,0,0,0
234,0,0,0,0
235,0,0,0,0
236,0,0,0,0
237,0,0,0,0
