FrameNr,x,y,w,h
1,0,0,0,0
2,0,0,0,0
3,0,0,0,0
4,0,0,0,0
5,0,0,0,0
6,0,0,0,0
7,0,0,0,0
8,0,0,0,0
9,0,0,0,0
10,0,0,0,0
11,0,0,0,0
12,0,0,0,0
13,0,0,0,0
14,0,0,0,0
15,0,0,0,0
16,0,0,0,0
17,0,0,0,0
18,0,0,0,0
19,0,0,0,0
20,0,0,0,0
21,0,0,0,0
22,0,0,0,0
23,0,0,0,0
24,1096,245,85,393
25,1094,247,86,391
26,1094,248,85,391
27,1093,248,86,392
28,1090,248,88,393
29,1082,248,95,393
30,1076,247,98,394
31,1067,245,101,396
32,1058,243,115,398
33,1046,243,116,398
34,1030,242,128,399
35,1022,242,135,398
36,1009,242,147,398
37,983,242,173,399
38,957,244,198,397
39,936,247,219,394
40,923,250,233,391
41,916,255,238,387
42,911,256,243,387
43,908,258,242,386
44,907,258,236,385
45,907,260,223,385
46,907,260,210,384
47,906,260,192,383
48,903,259,172,384
49,896,259,154,384
50,886,259,143,384
51,876,257,128,387
52,870,256,113,388
53,863,256,113,389
54,846,256,127,389
55,828,257,144,388
56,802,259,169,386
57,782,259,189,385
58,768,263,203,380
59,757,267,214,377
60,751,270,219,375
61,744,271,222,375
62,741,271,217,376
63,741,271,204,377
64,741,266,188,381
65,741,262,170,385
66,740,264,152,384
67,734,263,139,386
68,722,262,126,386
69,713,261,114,386
70,710,261,98,386
71,705,260,98,386
72,683,260,119,387
73,660,258,142,388
74,641,258,161,388
75,622,259,179,387
76,610,261,191,385
77,601,264,201,382
78,596,269,207,378
79,595,270,208,378
80,593,275,208,373
81,592,272,202,375
82,593,271,191,376
83,593,275,177,374
84,594,278,161,369
85,592,278,142,369
86,587,277,128,370
87,570,275,124,375
88,559,275,114,377
89,554,275,105,380
90,550,276,106,377
91,549,275,107,378
92,544,275,113,377
93,498,278,159,374
94,471,281,186,374
95,450,303,206,353
96,438,300,218,356
97,431,297,224,361
98,427,294,227,365
99,424,294,226,364
100,424,291,219,368
101,424,292,208,365
102,424,285,149,369
103,428,288,122,365
104,427,287,120,366
105,424,287,124,366
106,419,286,120,368
107,413,286,107,366
108,408,282,93,370
109,400,284,91,368
110,384,286,127,366
111,364,291,132,361
112,339,288,160,366
113,321,290,170,364
114,305,294,183,359
115,294,295,192,358
116,288,297,196,357
117,282,302,199,354
118,279,304,198,352
119,278,306,191,350
120,279,305,176,351
121,279,305,159,350
122,280,304,143,351
123,278,305,130,351
124,273,304,114,353
125,268,294,96,363
126,262,297,89,360
127,249,296,95,361
128,233,299,107,360
129,210,300,126,358
130,189,302,146,357
131,169,306,165,354
132,151,307,183,352
133,139,311,196,348
134,137,313,198,346
135,133,317,203,343
136,132,316,200,345
137,130,317,196,345
138,131,317,184,345
139,132,314,171,348
140,131,313,158,350
141,128,311,144,352
142,120,311,136,352
143,116,311,122,352
144,112,310,103,353
145,107,309,95,354
146,103,311,92,353
147,99,310,93,353
148,97,309,94,355
149,98,318,93,346
150,98,325,93,339
151,99,334,92,330
152,100,341,89,322
153,100,347,87,317
154,99,364,86,300
155,100,372,80,291
156,0,0,0,0
157,0,0,0,0
158,0,0,0,0
159,0,0,0,0
160,0,0,0,0
161,0,0,0,0
162,0,0,0,0
163,0,0,0,0
164,0,0,0,0
165,0,0,0,0
166,0,0,0,0
167,0,0,0,0
168,0,0,0,0
169,0,0,0,0
170,0,0,0,0
171,0,0,0,0
172,0,0,0,0
173,0,0,0,0
174,0,0,0,0
175,0,0,0,0
176,0,0,0,0
177,0,0,0,0
178,0,0,0,0
179,0,0,0,0
180,0,0,0,0
181,0,0,0,0
182,0,0,0,0
183,0,0,0,0
184,0,0,0,0
185,0,0,0,0
186,0,0,0,0
187,0,0,0,0
188,0,0,0,0
189,0,0,0,0
190,0,0,0,0
191,0,0,0,0
192,0,0,0,0
193,0,0,0,0
194,0,0,0,0
195,0,0,0,0
196,0,0,0,0
197,0,0,0,0
198,0,0,0,0
199,0,0,0,0
200,0,0,0,0
201,0,0,0,0
202,0,0,0,0
203,0,0,0,0
204,0,0,0,0
205,0,0,0,0
206,0,0,0,0
207,0,0,0,0
208,0,0,0,0
209,0,0,0,0
210,0,0,0,0
211,0,0,0,0
212,0,0,0,0
213,0,0,0,0
214,0,0,0,0
215,0,0,0,0
216,0,0,0,0
217,0,0,0,0
218,0,0,0,0
219,0,0,0,0
220,0,0,0,0
221,0,0,0,0
222,0,0,0,0
223,0,0,0,0
224,0,0,0,0
