FrameNr,x,y,w,h
1,0,0,0,0
2,0,0,0,0
3,0,0,0,0
4,0,0,0,0
5,0,0,0,0
6,0,0,0,0
7,0,0,0,0
8,0,0,0,0
9,0,0,0,0
10,0,0,0,0
11,0,0,0,0
12,0,0,0,0
13,0,0,0,0
14,0,0,0,0
15,0,0,0,0
16,0,0,0,0
17,0,0,0,0
18,0,0,0,0
19,102,343,128,318
20,99,240,121,423
21,99,200,119,464
22,99,183,121,482
23,99,177,120,488
24,99,173,129,492
25,100,169,128,496
26,101,167,134,497
27,102,166,140,499
28,109,174,155,492
29,118,174,165,491
30,117,174,188,489
31,119,175,214,487
32,120,178,243,483
33,120,181,265,479
34,121,185,280,478
35,123,189,285,476
36,122,192,294,473
37,127,195,294,470
38,138,194,286,473
39,157,196,268,471
40,182,196,242,469
41,224,198,197,465
42,254,195,170,468
43,276,192,156,472
44,287,190,156,474
45,292,188,164,476
46,298,188,169,476
47,302,189,171,473
48,307,188,175,474
49,311,187,187,475
50,316,188,194,475
51,320,194,197,472
52,325,193,198,476
53,332,195,193,475
54,334,198,192,472
55,337,202,192,468
56,338,207,195,462
57,346,208,191,462
58,356,207,187,463
59,367,207,183,463
60,374,204,181,466
61,378,203,181,467
62,381,202,181,468
63,384,202,179,468
64,386,202,179,468
65,388,202,178,468
66,388,202,179,468
67,389,202,180,468
68,390,202,179,468
69,391,202,178,469
70,392,202,176,469
71,393,203,174,469
72,394,204,172,468
73,395,204,170,468
74,396,204,168,468
75,397,204,167,468
76,398,204,165,468
77,399,204,164,468
78,399,204,165,468
79,399,204,165,468
80,399,204,165,468
81,399,204,165,468
82,399,204,166,468
83,399,204,166,468
84,399,204,167,468
85,399,204,167,468
86,398,204,168,468
87,398,204,169,468
88,398,204,169,468
89,398,204,169,468
90,398,204,169,468
91,398,205,169,467
92,399,205,168,467
93,399,206,168,466
94,399,206,168,466
95,398,205,168,467
96,398,205,169,467
97,399,205,168,467
98,399,205,168,467
99,399,204,167,468
100,399,203,166,469
101,399,203,166,469
102,398,202,167,470
103,398,202,168,470
104,399,202,167,470
105,399,202,168,470
