FrameNr,x,y,w,h
1,0,0,0,0
2,0,0,0,0
3,0,0,0,0
4,0,0,0,0
5,0,0,0,0
6,0,0,0,0
7,0,0,0,0
8,0,0,0,0
9,0,0,0,0
10,0,0,0,0
11,0,0,0,0
12,0,0,0,0
13,0,0,0,0
14,0,0,0,0
15,0,0,0,0
16,0,0,0,0
17,0,0,0,0
18,100,158,120,549
19,100,154,131,558
20,100,152,141,560
21,100,147,148,565
22,99,142,152,571
23,100,139,154,573
24,100,137,156,574
25,101,135,157,578
26,101,134,167,581
27,101,134,189,580
28,103,134,220,581
29,104,135,280,581
30,106,134,325,581
31,109,147,355,569
32,114,155,373,560
33,120,160,380,556
34,130,166,376,550
35,132,169,376,547
36,151,168,365,548
37,185,163,325,553
38,223,161,285,555
39,271,157,232,560
40,321,152,192,565
41,357,145,178,571
42,377,148,182,568
43,398,148,208,568
44,407,151,260,565
45,412,155,317,562
46,415,157,341,559
47,414,158,357,558
48,416,162,365,556
49,425,162,361,557
50,442,160,346,558
51,467,159,319,559
52,497,155,287,562
53,532,150,251,567
54,564,136,217,582
55,591,137,186,580
56,607,141,183,577
57,618,141,190,574
58,631,137,210,579
59,644,138,235,578
60,655,141,260,575
61,665,151,277,565
62,674,158,280,559
63,681,168,277,549
64,685,172,274,545
65,689,173,270,544
66,696,173,263,545
67,700,169,258,549
68,704,163,254,556
69,707,160,251,558
70,711,159,247,559
71,712,158,245,560
72,711,156,246,561
73,709,155,248,562
74,707,158,251,558
75,704,161,256,554
76,702,163,259,552
77,696,162,266,554
78,689,164,273,552
79,677,163,284,551
80,663,163,298,550
81,648,164,313,549
82,635,163,322,551
83,619,162,325,552
84,608,155,317,559
85,595,157,305,556
86,582,156,290,556
87,568,147,273,566
88,556,144,260,569
89,548,144,252,569
90,535,147,255,567
91,519,153,264,562
92,507,156,268,559
93,495,161,274,554
94,471,163,292,554
95,451,166,309,551
96,438,167,319,550
97,428,169,324,548
98,418,170,321,546
99,408,168,307,547
100,400,164,287,550
101,392,165,261,548
102,383,163,234,550
103,372,148,183,566
104,340,139,190,575
105,299,146,218,570
106,262,152,250,563
107,224,157,285,557
108,191,164,318,551
109,163,169,348,546
110,135,173,376,542
111,114,181,393,534
112,98,184,405,531
113,92,195,398,519
114,91,196,377,518
115,92,193,346,521
116,94,191,308,523
117,98,184,265,530
118,96,179,224,536
119,96,178,178,537
120,97,179,150,536
121,97,178,138,537
122,98,178,131,537
123,98,194,130,521
124,99,202,129,513
125,99,213,130,501
126,99,241,132,474
127,100,269,129,447
128,100,339,118,377
129,0,0,0,0
130,0,0,0,0
131,0,0,0,0
132,0,0,0,0
133,0,0,0,0
134,0,0,0,0
135,0,0,0,0
136,0,0,0,0
137,0,0,0,0
138,0,0,0,0
139,0,0,0,0
140,0,0,0,0
141,0,0,0,0
142,0,0,0,0
143,0,0,0,0
144,0,0,0,0
145,0,0,0,0
146,0,0,0,0
147,0,0,0,0
148,0,0,0,0
149,0,0,0,0
150,0,0,0,0
151,0,0,0,0
152,0,0,0,0
153,0,0,0,0
154,0,0,0,0
