FrameNr,x,y,w,h
1,0,0,0,0
2,0,0,0,0
3,0,0,0,0
4,0,0,0,0
5,0,0,0,0
6,0,0,0,0
7,0,0,0,0
8,0,0,0,0
9,0,0,0,0
10,0,0,0,0
11,0,0,0,0
12,0,0,0,0
13,0,0,0,0
14,0,0,0,0
15,0,0,0,0
16,0,0,0,0
17,0,0,0,0
18,0,0,0,0
19,0,0,0,0
20,0,0,0,0
21,0,0,0,0
22,0,0,0,0
23,0,0,0,0
24,0,0,0,0
25,0,0,0,0
26,0,0,0,0
27,0,0,0,0
28,1080,195,100,505
29,1071,195,109,505
30,1065,195,114,505
31,1055,195,120,505
32,1055,195,120,505
33,1055,195,120,505
34,1055,195,120,505
35,1055,171,120,529
36,1049,166,128,534
37,1042,167,135,534
38,1034,169,143,533
39,1026,171,151,530
40,1015,172,157,528
41,1005,170,163,529
42,997,169,160,531
43,987,173,166,524
44,962,171,189,527
45,931,174,220,524
46,906,177,245,520
47,887,181,263,515
48,876,185,274,511
49,870,191,278,504
50,867,192,277,503
51,865,192,272,503
52,865,185,260,510
53,865,183,243,511
54,864,186,221,507
55,858,192,205,501
56,849,190,191,503
57,841,189,152,505
58,830,191,138,504
59,820,189,136,506
60,812,189,139,506
61,796,190,154,502
62,770,192,180,500
63,747,193,204,498
64,722,195,229,497
65,706,199,244,493
66,694,201,256,490
67,688,201,261,491
68,685,202,261,489
69,684,200,256,489
70,683,196,245,492
71,684,194,228,491
72,684,191,208,490
73,680,192,190,486
74,673,193,178,484
75,665,194,161,482
76,655,192,149,484
77,646,191,143,487
78,638,190,142,488
79,620,190,154,489
80,595,190,175,489
81,578,191,189,490
82,569,192,196,490
83,566,194,197,489
84,563,193,195,490
85,563,192,188,491
86,563,191,176,491
87,562,189,162,493
88,557,188,139,494
89,547,185,135,498
90,533,180,141,503
91,532,176,134,507
92,526,173,133,510
93,513,171,141,511
94,507,171,141,511
95,501,171,141,511
96,495,171,141,511
97,489,171,141,511
98,470,171,141,511
99,450,171,141,511
100,419,174,226,508
101,419,174,226,508
102,417,175,224,506
103,416,175,218,504
104,416,174,206,501
