FrameNr,x,y,w,h
1,0,0,0,0
2,0,0,0,0
3,0,0,0,0
4,0,0,0,0
5,0,0,0,0
6,0,0,0,0
7,0,0,0,0
8,0,0,0,0
9,0,0,0,0
10,0,0,0,0
11,0,0,0,0
12,0,0,0,0
13,0,0,0,0
14,0,0,0,0
15,0,0,0,0
16,0,0,0,0
17,0,0,0,0
18,0,0,0,0
19,0,0,0,0
20,0,0,0,0
21,0,0,0,0
22,0,0,0,0
23,0,0,0,0
24,0,0,0,0
25,0,0,0,0
26,0,0,0,0
27,0,0,0,0
28,0,0,0,0
29,0,0,0,0
30,1072,89,110,618
31,1067,105,115,602
32,1063,113,118,596
33,1060,115,120,595
34,1055,116,124,594
35,1050,120,128,590
36,1043,123,135,586
37,1030,124,148,585
38,1020,125,158,584
39,1008,126,170,583
40,1001,127,176,583
41,994,127,182,583
42,982,128,195,581
43,973,130,201,578
44,967,132,206,576
45,960,135,212,571
46,949,140,224,566
47,938,143,236,563
48,926,148,248,559
49,917,153,257,555
50,910,159,264,549
51,903,164,270,543
52,899,168,271,538
53,897,171,268,533
54,895,174,260,529
55,889,177,249,526
56,882,177,239,523
57,876,177,228,517
58,870,179,214,511
59,864,180,196,507
60,858,181,182,507
61,853,182,158,505
62,844,183,150,505
63,842,184,148,505
64,836,183,151,505
65,819,185,167,502
66,801,189,185,496
67,782,190,203,495
68,769,193,217,491
69,762,195,224,489
70,757,197,229,487
71,753,203,233,481
72,752,209,232,474
73,751,201,231,482
74,751,195,228,489
75,751,194,221,491
76,750,194,211,490
77,748,193,199,489
78,745,194,186,486
79,744,193,173,486
80,747,191,152,487
81,742,190,138,490
82,740,189,121,490
83,739,188,109,491
84,730,190,111,489
85,720,190,118,489
86,712,190,124,489
87,710,192,125,486
88,708,196,127,481
89,706,199,129,478
90,704,200,131,476
91,701,201,134,476
92,696,204,139,473
93,690,206,144,471
94,685,207,148,470
95,680,207,152,471
96,675,207,156,471
97,671,207,158,471
98,668,206,160,472
99,666,206,162,471
100,664,206,165,471
101,663,206,168,470
102,662,206,171,470
103,662,205,173,470
104,662,203,175,472
