FrameNr,x,y,w,h
1,0,0,0,0
2,0,0,0,0
3,0,0,0,0
4,0,0,0,0
5,0,0,0,0
6,0,0,0,0
7,0,0,0,0
8,0,0,0,0
9,0,0,0,0
10,0,0,0,0
11,0,0,0,0
12,0,0,0,0
13,0,0,0,0
14,0,0,0,0
15,0,0,0,0
16,1866,506,53,414
17,1856,505,63,412
18,1843,503,76,419
19,1829,502,90,429
20,1817,502,102,424
21,1801,504,118,431
22,1777,503,142,438
23,1747,506,172,440
24,1731,509,188,435
25,1710,514,209,433
26,1701,516,218,432
27,1699,516,219,433
28,1699,514,219,436
29,1698,514,220,435
30,1697,514,210,435
31,1689,510,197,439
32,1681,507,153,443
33,1664,504,147,446
34,1654,501,139,449
35,1643,499,142,450
36,1632,499,143,452
37,1623,500,151,453
38,1615,501,158,451
39,1602,501,169,450
40,1591,505,181,448
41,1583,507,190,445
42,1572,512,202,442
43,1558,517,217,439
44,1545,520,225,438
45,1533,518,112,437
46,1518,521,113,437
47,1500,520,118,437
48,1489,518,112,437
49,1481,517,107,437
50,1469,515,109,437
51,1456,510,110,437
52,1444,509,114,437
53,1426,508,118,437
54,1415,509,118,437
55,1410,510,112,437
56,1401,512,109,437
57,1393,518,104,437
58,1378,520,107,437
59,1368,524,105,437
60,1358,527,103,437
61,1347,529,101,437
62,1330,530,106,437
63,1321,532,99,1437
64,1314,532,97,1437
65,1285,532,112,437
66,1271,530,119,437
67,1266,530,115,437
68,1264,529,108,437
69,1260,529,104,437
70,1253,529,105,437
71,1245,529,105,437
72,1234,530,101,437
73,1224,530,98,437
74,1207,530,108,437
75,1198,532,107,437
76,1183,532,112,437
77,1084,533,203,440
78,1085,539,192,437
79,1081,540,184,438
80,1081,543,176,436
81,1081,543,166,437
82,1083,543,156,437
83,1083,544,151,435
84,1083,542,147,438
85,1078,539,151,442
86,1073,538,151,442
87,1060,536,156,444
88,1048,533,165,448
89,1036,532,173,451
90,1026,532,176,454
91,1016,531,182,458
92,1009,530,183,460
93,1003,530,184,462
94,998,529,186,463
95,995,528,185,465
96,993,526,183,469
97,991,525,181,466
